bib,test title,Title,Topic,Topic-code,Topic-code,Description,Methodology,Attacker,Attacker-code,Attacker-code,Attacker,use-case,Abstract,conference,year,URL,PDF,Presentation,Attacker,Attack Group,Selected Attack
Kim_Goutam_Rahmati_Kaufman_2023,Erebus: Access Control for Augmented Reality Systems,Erebus: Access Control for Augmented Reality Systems,"Access Control, Privacy, AR Permissions","access_control, permissions","access_control, permissions","Erebus framework introduces fine-grained access control for AR applications, enabling users to limit sensor data exposure based on specific rules using a domain-specific language (when, where, what, etc). Enforces ""least privilege"" by allowing permissions only under defined conditions.",Implemented on Google ARCore SDK; evaluated across five AR applications with policy enforcement,Malicious application,malicious_application,malicious_application,app,Attack: Application getting more data,"Augmented Reality (AR) is widely considered the next evolution in personal devices, enabling seamless integration of the digital world into our reality. Such integration, however, often requires unfettered access to sensor data, causing significant overprivilege for applications that run on these platforms. Through analysis of 17 AR systems and 45 popular AR applications, we explore existing mechanisms for access control in AR platforms, identify key trends in how AR applications use sensor data, and pinpoint unique threats users face in AR environments. Using these findings, we design and implement Erebus, an access control framework for AR platforms that enables fine-grained control over data used by AR applications. Erebus achieves the principle of least privileged through creation of a domain-specific language (DSL) for permission control in AR platforms, allowing applications to specify data needed for their functionality. Using this DSL, Erebus further enables users to customize app permissions to apply under specific user conditions. We implement Erebus on Google's ARCore SDK and port five existing AR applications to demonstrate Erebus capability to secure various classes of apps. Performance results using these applications and various microbenchmarks show that Erebus achieves its security goals while being practical, introducing negligible performance overhead to the AR system.",USENIX,2023,https://www.usenix.org/conference/usenixsecurity23/presentation/kim-yoonsang,https://www.usenix.org/system/files/usenixsecurity23-kim-yoonsang.pdf,,app,Data collection,Position Logging
Munilla_Garrido_Nair_Song_2024,SoK: Data Privacy in Virtual Reality,SoK: Data Privacy in Virtual Reality,"Privacy, Data Attributes, VR","data_attributes, VR_privacy, fingerprinting","data_attributes, VR_privacy, fingerprinting","Taxonomy of data attributes, threats, and defenses in VR, examining privacy risks associated with VR telemetry data. Analyzes privacy breaches and identifies opportunities for privacy-preserving methods in VR contexts.",Systematic review and taxonomy development based on 75 papers.,Malicious application/ Malicious Server,"malicious_application, malicious_server","malicious_application, malicious_server",app,"Attack: Privacy data leakage, fingerprinting","The adoption of virtual reality (VR) technologies has rapidly gained momentum in recent years as companies around the world begin to position the so-called ""metaverse"" as the next major medium for accessing and interacting with the internet. While consumers have become accustomed to a degree of data harvesting on the web, the real-time nature of data sharing in the metaverse indicates that privacy concerns are likely to be even more prevalent in the new ""Web 3.0."" Research into VR privacy has demonstrated that a plethora of sensitive personal information is observable by various would-be adversaries from just a few minutes of telemetry data. On the other hand, we have yet to see VR parallels for many privacy-preserving tools aimed at mitigating threats on conventional platforms. This paper aims to systematize knowledge on the landscape of VR privacy threats and countermeasures by proposing a comprehensive taxonomy of data attributes, protections, and adversaries based on the study of 68 collected publications. We complement our qualitative discussion with a statistical analysis of the risk associated with various data sources inherent to VR in consideration of the known attacks and defenses. By focusing on highlighting the clear outstanding opportunities, we hope to motivate and guide further research into this increasingly important field.",PETS,2024,,https://petsymposium.org/popets/2024/popets-2024-0003.pdf,https://www.youtube.com/watch?v=Eq9rsLhM3Bs,app,Fingerprinting,fingeprinting user
Lim_Yun_Ham_Kim_2022,Mine Yourself!: A Role-playing Privacy Tutorial in Virtual Reality Environment,Mine Yourself!: A Role-playing Privacy Tutorial in Virtual Reality Environment,"Users concerns, data collection, privacy policies","user_concerns, data_collection, policy","user_concerns, data_collection, policy","Proposes a role-playing privacy tutorial within VR to increase user awareness of data collection and privacy policies, enhancing satisfaction and engagement compared to traditional Privacy Policy formats.","Study with interviews and drawing sessions, followed by a role-playing tutorial implementation and user study for efficacy evaluation",N/A ( Application asking to many/unclear permission? ),"N/A, malicious_application","N/A, malicious_application",app,Defense: User awarness forming ( like phishing training ),"Virtual Reality (VR) has potential vulnerabilities in privacy risks from collecting a wide range of data with higher density. Various designs to provide information on Privacy Policy (PP) have improved the awareness and motivation towards privacy risks. However, most of them have focused on desktop environments, not utilizing the full potential of VR's immersive interactivity. Therefore, we proposed a role-playing mechanism to provide an immersive experience of interacting with PP's key entities. First, our formative study found insights for PP where VR users had limited awareness of what data to be collected and how to control them. Following this, we implemented a VR privacy tutorial based on our role-playing mechanism and PP from off-the-shelf VR devices. Our privacy tutorial increased a similar amount of privacy awareness with significantly higher satisfaction (p=0.007) than conventional PP. Our tutorial also showed marginally higher usability (p=0.11).",CHI EA,2022,https://dl.acm.org/doi/fullHtml/10.1145/3491101.3519773,http://kuaa.net/publications/2022-Mine_Yourself_A.pdf,https://www.youtube.com/watch?v=IdMeJU986bU,,,
Nair_Munilla_Garrido_Song_OBrien_2023,Exploring the Privacy Risks of Adversarial VR Game Design	,Exploring the Privacy Risks of Adversarial VR Game Design	,"Privacy Risks, Adversarial VR Design, Malicious App, Privacy","privacy_risks, malicious_app","privacy_risks, malicious_app","Investigates how adversarially-designed VR games can covertly harvest over 25 personal data attributes from users through gameplay. Demonstrates that user interactions and motion in response to game elements can be exploited to infer demographics, biometrics, and other sensitive data.",Case study with a VR escape room game; user study involving 50 participants to measure data inference accuracy	,Malicious application,malicious_application,malicious_application,app,Attack: Application harvesting Data,"Thirty study participants playtested an innocent-looking ""escape room"" game in virtual reality (VR). Behind the scenes, an adversarial program had accurately inferred over 25 personal data attributes, from anthropometrics like height and wingspan to demographics like age and gender, within just a few minutes of gameplay. As notoriously data-hungry companies become increasingly involved in VR development, this experimental scenario may soon represent a typical VR user experience. While virtual telepresence applications (and the so-called ""metaverse"") have recently received increased attention and investment from major tech firms, these environments remain relatively under-studied from a security and privacy standpoint. In this work, we illustrate how VR attackers can covertly ascertain dozens of personal data attributes from seemingly-anonymous users of popular metaverse applications like VRChat. These attackers can be as simple as other VR users without special privilege, and the potential scale and scope of this data collection far exceed what is feasible within traditional mobile and web applications. We aim to shed light on the unique privacy risks of the metaverse, and provide the first holistic framework for understanding intrusive data harvesting attacks in these emerging VR ecosystems.",PETS,2024,,https://petsymposium.org/popets/2023/popets-2023-0108.pdf,,app,Data collection,Position Logging
Nair_Rack_Guo_Wang_Li_Huang_Cull_OBrien_Latoschik_Rosenberg_et,Inferring Private Personal Attributes of Virtual Reality Users from Ecologically Valid Head and Hand Motion Data,Inferring Private Personal Attributes of Virtual Reality Users from Ecologically Valid Head and Hand Motion Data,"Privacy risks, fingerpriting, de-anonymization","privacy_risks, fingerprinting_deanonymization, PII","privacy_risks, fingerprinting_deanonymization, PII","Demonstrates how head and hand motion data in VR (from a non-adversarial game or adversial game or server) can reveal private information, such as demographics, health, and behavioral attributes","Machine learning classification on head/hand motion data, survey with VR users",Malicious server or application,"malicious_application, malicious_server","malicious_application, malicious_server",app,Attack: Profiling users,"Motion tracking “telemetry” data lies at the core of nearly all modern virtual reality (VR) and metaverse experiences. While generally presumed innocuous, recent studies have demonstrated that motion data actually has the potential to uniquely identify VR users. In this study, we go a step further, showing that a variety of private user information can be inferred just by analyzing motion data recorded from VR devices. We conducted a large-scale survey of VR users (N=1,006) with dozens of questions ranging from background and demographics to behavioral patterns and health information. We then obtained VR motion samples of each user playing the game “Beat Saber,” and attempted to infer their survey responses using just their head and hand motion patterns. Using simple machine learning models, over 40 personal attributes could be accurately and consistently inferred from VR motion data alone. Despite this significant observed leakage, there remains limited awareness of the privacy implications of VR motion data, highlighting the pressing need for privacy-preserving mechanisms in multi-user VR applications",VRW,2024,https://www.computer.org/csdl/proceedings-article/vrw/2024/744900a477/1XldjInXPVe,http://graphics.berkeley.edu/papers/Nair-IPP-2024-03/Nair-IPP-2024-03.pdf,,app,Fingerprinting,fingeprinting user
Nair_Guo_Mattern_Wang_OBrien_Rosenberg_Song_2023,"Unique Identification of 50, 000+ Virtual Reality Users from Head & Hand Motion Dat","Unique Identification of 50, 000+ Virtual Reality Users from Head & Hand Motion Dat","Privacy risks, fingerprinting, de-anonymization","privacy_risks, fingerprinting_deanonymization, PII","privacy_risks, fingerprinting_deanonymization, PII","Demonstrates that VR head and hand motion data from popular games (like ""Beat Saber"") can uniquely identify users, achieving 94% accuracy with just 100 seconds of data	",Machine learning model on large VR motion dataset,Malicious server or application,"malicious_application, malicious_server","malicious_application, malicious_server",app,Attack: Profiling users,"With the recent explosive growth of interest and investment in virtual reality (VR) and the so-called ""metaverse,"" public attention has rightly shifted toward the unique security and privacy threats that these platforms may pose. While it has long been known that people reveal information about themselves via their motion, the extent to which this makes an individual globally identifiable within virtual reality has not yet been widely understood. In this study, we show that a large number of real VR users (N=55,541) can be uniquely and reliably identified across multiple sessions using just their head and hand motion relative to virtual objects. After training a classification model on 5 minutes of data per person, a user can be uniquely identified amongst the entire pool of 50,000+ with 94.33% accuracy from 100 seconds of motion, and with 73.20% accuracy from just 10 seconds of motion. This work is the first to truly demonstrate the extent to which biomechanics may serve as a unique identifier in VR, on par with widely used biometrics such as facial or fingerprint recognition.",USENIX,2023,https://dl.acm.org/doi/10.5555/3620237.3620288,https://www.usenix.org/system/files/usenixsecurity23-nair-identification.pdf,,app,Fingerprinting,fingeprinting user
Wu_Shi_Zhang_Walker_Liu_Saxena_Chen_2023,Privacy Leakage via Unrestricted Motion-Position Sensors in the Age of Virtual Reality: A Study of Snooping Typed Input on Virtual Keyboards,Privacy Leakage via Unrestricted Motion-Position Sensors in the Age of Virtual Reality: A Study of Snooping Typed Input on Virtual Keyboards,"Privacy risks, keystroke snooping, side-channel attack, sensor, raw data","privacy_risks, keylogging, side_channel, raw_sensor_data","privacy_risks, keylogging, side_channel, raw_sensor_data",Shows how unrestricted access to VR motion and position sensors can allow attackers to infer keystrokes typed on a virtual keyboard.,"PoC app/website and experiments with VR systems, data collection and analysis on typing using sensors data available with no permission.",Malicious application or website,"malicious_application, malicious_server","malicious_application, malicious_server",app,Attack: Keylogging,"Virtual Reality (VR) has gained popularity in numerous fields, including gaming, social interactions, shopping, and education. In this paper, we conduct a comprehensive study to assess the trustworthiness of the embedded sensors on VR, which embed various forms of sensitive data that may put users’ privacy at risk. We find that accessing most on-board sensors (e.g., motion, position, and button sensors) on VR SDKs/APIs, such as OpenVR, Oculus Platform, and WebXR, requires no security permission, exposing a huge attack surface for an adversary to steal the user’s privacy. We validate this vulnerability through developing malware programs and malicious websites and specifically explore to what extent it exposes the user’s information in the context of keystroke snooping. To examine its actual threat in practice, the adversary in the considered attack model doesn’t possess any labeled data from the user nor knowledge about the user’s VR settings. Extensive experiments, involving two mainstream VR systems and four keyboards with different typing mechanisms, demonstrate that our proof-of-concept attack can recognize the user’s virtual typing with over 89.7% accuracy. The attack can recover the user’s passwords with up to 84.9% recognition accuracy if three attempts are allowed and achieve an average of 87.1% word recognition rate for paragraph inference. We hope this study will help the community gain awareness of the vulnerability in the sensor management of current VR systems and provide insights to facilitate the future design of more comprehensive and restricted sensor access control mechanisms.",IEEE SP,2023,,https://www.winlab.rutgers.edu/~yychen/papers/Privacy%20Leakage%20via%20Unrestricted%20Motion-Position%20Sensors%20in%20the%20Age%20of%20Virtual%20Reality.pdf,,app,Keylogging,fake keylogging
Tricomi_Nenna_Pajola_Conti_Gamberini_2023,You Can’t Hide Behind Your Headset: User Profiling in Augmented and Virtual Reality,You Can’t Hide Behind Your Headset: User Profiling in Augmented and Virtual Reality,"Privacy risks, user profiling, de-anonymization","privacy_risks, user_profiling, fingerprinting, deanonymization, PII","privacy_risks, user_profiling, fingerprinting, deanonymization, PII","Examines how behavioral data from AR and VR (e.g., head, controller, eye data) can be used for user profiling, including age and gender inference.",Machine learning on behavioral data from AR/VR tasks with varying workloads.,Malicious application or server.,"malicious_application, malicious_server","malicious_application, malicious_server",app,Attack: Profiling users,"Augmented and Virtual Reality (AR and VR), collectively known as Extended Reality (XR), are increasingly gaining traction thanks to their technical advancement and the need for remote connections, recently accentuated by the pandemic. Remote surgery, telerobotics, and virtual offices are only some examples of their successes. As users interact with XR, they generate extensive behavioral data usually leveraged for measuring human activity, which could be used for profiling users’ identities or personal information (e.g., gender). However, several factors affect the efficiency of profiling, such as the technology employed, the action taken, the mental workload, the presence of bias, and the sensors available. To date, no study has considered all of these factors together and in their entirety, limiting the current understanding of XR profiling. In this work, we provide a comprehensive study on user profiling in virtual technologies (i.e., AR, VR). Specifically, we employ machine learning on behavioral data (i.e., head, controllers, and eye data) to identify users and infer their individual attributes (i.e., age, gender). Toward this end, we propose a general framework that can potentially infer any personal information from any virtual scenarios. We test our framework on eleven generic actions (e.g., walking, searching, pointing) involving low and high mental loads, derived from two distinct use cases: an AR everyday application (34 participants) and VR robot teleoperation (35 participants). Our framework limits the burden of creating technology- and action-dependent algorithms, also reducing the experimental bias evidenced in previous work, providing a simple (yet effective) baseline for future works. We identified users up to 97% F1-score in VR and 80% in AR. Gender and Age inference was also facilitated in VR, reaching up to 82% and 90% F1-score, respectively. Through an in-depth analysis of sensors’ impact, we found VR profiling resulting more effective than AR ma...",IEEE Access,2022,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10027854,,app,Fingerprinting,fingeprinting user
Trimananda_Le_Cui_Ho_Shuba_Markopoulou_2022,OVRseen: Auditing Network Traffic and Privacy Policies in Oculus VR,OVRseen: Auditing Network Traffic and Privacy Policies in Oculus VR,"Privacy risks, data flow analysis, policy audit","privacy_risks, data_flow, policy","privacy_risks, data_flow, policy","Analyzes personal data exposure by Oculus VR apps through network traffic and privacy policies, highlighting discrepancies in data practices and policy statements.","Network traffic capture, decryption, dynamic hooking, frida, and NLP-based policy analysis on Quest 2	",Malicious server,malicious_server,malicious_server,,"Attack: Data collection for tracking, analytics, and profiling","Virtual reality (VR) is an emerging technology that enables new applications but also introduces privacy risks. In this paper, we focus on Oculus VR (OVR), the leading platform in the VR space and we provide the first comprehensive analysis of personal data exposed by OVR apps and the platform itself, from a combined networking and privacy policy perspective. We experimented with the Quest 2 headset and tested the most popular VR apps available on the official Oculus and the SideQuest app stores. We developed OVRseen, a methodology and system for collecting, analyzing, and comparing network traffic and privacy policies on OVR. On the networking side, we captured and decrypted network traffic of VR apps, which was previously not possible on OVR, and we extracted data flows, defined as〈app, data type, destination〉. Compared to the mobile and other app ecosystems, we found OVR to be more centralized and driven by tracking and analytics, rather than by third-party advertising. We show that the data types exposed by VR apps include personally identifiable information (PII), device information that can be used for fingerprinting, and VR-specific data types. By comparing the data flows found in the network traffic with statements made in the apps' privacy policies, we found that approximately 70% of OVR data flows were not properly disclosed. Furthermore, we extracted additional context from the privacy policies, and we observed that 69% of the data flows were used for purposes unrelated to the core functionality of apps.",USENIX,2022,https://www.usenix.org/conference/usenixsecurity22/presentation/trimananda,https://www.usenix.org/system/files/sec22-trimananda.pdf,,,,
Guo_Dai_Luo_Zheng_Xu_He_2024,An Empirical Study on Oculus Virtual Reality Applications: Security and Privacy Perspectives,An Empirical Study on Oculus Virtual Reality Applications: Security and Privacy Perspectives,"Privacy risks, policy audit, PII leakage, fingerprinting, de-anonymization","privacy_risks, policy, PII, fingerprinting_deanonymization","privacy_risks, policy, PII, fingerprinting_deanonymization","Examines privacy and security risks in VR apps, revealing high rates of vulnerabilities like PII leakage and inconsistencies in privacy policies with actual app behaviors.",VR-SP detector tool: static code and privacy policy analysis of 500 VR apps.,Malicious server or application.,"malicious_application, malicious_server","malicious_application, malicious_server",app,"Attack: data collection, privacy policy inconsistencies	","Although Virtual Reality (VR) has accelerated its prevalent adoption in emerging metaverse applications, it is not a fundamentally new technology. On one hand, most VR operating systems (OS) are based on off-the-shelf mobile OS (e.g., Android). As a result, VR apps also inherit privacy and security deficiencies from conventional mobile apps. On the other hand, in contrast to conventional mobile apps, VR apps can achieve immersive experience via diverse VR devices, such as head-mounted displays, body sensors, and controllers though achieving this requires the extensive collection of privacy-sensitive human biometrics (e.g., hand-tracking and face-tracking data). Moreover, VR apps have been typically implemented by 3D gaming engines (e.g., Unity), which also contain intrinsic security vulnerabilities. Inappropriate use of these technologies may incur privacy leaks and security vulnerabilities although these issues have not received significant attention compared to the proliferation of diverse VR apps. In this paper, we develop a security and privacy assessment tool, namely the VR-SP detector for VR apps. The VR-SP detector has integrated program static analysis tools and privacy-policy analysis methods. Using the VR-SP detector, we conduct a comprehensive empirical study on 500 popular VR apps. We obtain the original apps from the popular Oculus and SideQuest app stores and extract APK files via the Meta Oculus Quest 2 device. We evaluate security vulnerabilities and privacy data leaks of these VR apps by VR app analysis, taint analysis, and privacy-policy analysis. We find that a number of security vulnerabilities and privacy leaks widely exist in VR apps. Moreover, our results also reveal conflicting representations in the privacy policies of these apps and inconsistencies of the actual data collection with the privacy-policy statements of the apps. Based on these findings, we make suggestions for the future development of VR apps.",ICSE,2024,https://dl.acm.org/doi/10.1145/3597503.3639082,https://arxiv.org/pdf/2402.13815,,app,Data collection,Position Logging
Nair_MunillaGarrido_Song_2023,Going Incognito in the Metaverse: Achieving Theoretically Optimal Privacy-Usability Tradeoffs in VR,Going Incognito in the Metaverse: Achieving Theoretically Optimal Privacy-Usability Tradeoffs in VR,"Privacy defenses, differential privacy, fingerprinting, anonymization","privacy_defenses, differential_privacy, fingerprinting, deanonymization, anonymization, PII","privacy_defenses, differential_privacy, fingerprinting, deanonymization, anonymization, PII","Introduces ""incognito mode"" for VR using local differential privacy to obscure user attributes (height, arm span, etc), balancing privacy and usability through controlled noise	","Implementation as a Unity plugin, evaluated by replicating known VR privacy attacks.",Malicious server. ( if implemented in OS can defend against malicious applicatrions too),malicious_server,malicious_server,,Defense: Obscuring sensitive attributes like identity and physical traits.,"Virtual reality (VR) telepresence applications and the so-called “metaverse” promise to be the next major medium of human-computer interaction. However, with recent studies demonstrating the ease at which VR users can be profiled and deanonymized, metaverse platforms carry many of the privacy risks of the conventional internet (and more) while at present offering few of the defensive utilities that users are accustomed to having access to. To remedy this, we present the first known method of implementing an “incognito mode” for VR. Our technique leverages local ε-differential privacy to quantifiably obscure sensitive user data attributes, with a focus on intelligently adding noise when and where it is needed most to maximize privacy while minimizing usability impact. Our system is capable of flexibly adapting to the unique needs of each VR application to further optimize this trade-off. We implement our solution as a universal Unity (C#) plugin that we then evaluate using several popular VR applications. Upon faithfully replicating the most well-known VR privacy attack studies, we show a significant degradation of attacker capabilities when using our solution",UIST,2022,https://dl.acm.org/doi/10.1145/3586183.3606754,https://dl.acm.org/doi/pdf/10.1145/3586183.3606754,,,,
Steil_Hagestedt_Huang_Bulling_2019,Privacy-aware eye tracking using differential privacy,Privacy-aware eye tracking using differential privacy,"Privacy defenses, eye-tracking, data protection, differential privacy","privacy_defenses, eye_tracking, differential_privacy","privacy_defenses, eye_tracking, differential_privacy","Introduces a privacy-aware VR interface using differential privacy to prevent the inference of sensitive information (e.g., gender, re-identification) from eye-tracking data while maintaining utility for tasks like document classification.","Differential privacy mechanism applied to VR eye-tracking data, evaluated on 20-participant dataset.","Malicious Application, Third Parties","malicious_application, malicious_library","malicious_application, malicious_library",app,"Defense: Obscuring user attributes (e.g., gender) while preserving document-type classification.","With eye tracking being increasingly integrated into virtual and augmented reality (VR/AR) head-mounted displays, preserving users’ privacy is an ever more important, yet under-explored, topic in the eye tracking community. We report a large-scale online survey (N=124) on privacy aspects of eye tracking that provides the first comprehensive account of with whom, for which services, and to which extent users are willing to share their gaze data. Using these insights, we design a privacy-aware VR interface that uses differential privacy, which we evaluate on a new 20-participant dataset for two privacy sensitive tasks: We show that our method can prevent user re-identification and protect gender information while maintaining high performance for gaze-based document type classification. Our results highlight the privacy challenges particular to gaze data and demonstrate that differential privacy is a potential means to address them. Thus, this paper lays important foundations for future research on privacy-aware gaze interfaces.",ETRA,2019,https://dl.acm.org/doi/10.1145/3314111.3319915,https://perceptualui.org/publications/steil19_etra_2.pdf,,,,
Nair_Guo_OBrien_Rosenberg_Song_2023,"Deep Motion Masking for Secure, Usable, and Scalable Real-Time Anonymization of Virtual Reality Motion Data","Deep Motion Masking for Secure, Usable, and Scalable Real-Time Anonymization of Virtual Reality Motion Data","Privacy defense, motion data anonymization.","privacy_defenses, anonymization","privacy_defenses, anonymization","Proposes a deep learning approach called ""deep motion masking"" to anonymize VR motion data in real-time, preventing user re-identification and profiling. Data is ""anonymized before sent to the server.","Deep learning model trained on VR motion data, evaluated through user study (N=182) and simulation of anonymized interactions.",Malicious server or application (if in OS),"malicious_application, malicious_server","malicious_application, malicious_server",app,Defense: Anonymizing user motion to prevent re-identification and attribute inference	,"Virtual reality (VR) and ""metaverse"" systems have recently seen a resurgence in interest and investment as major technology companies continue to enter the space. However, recent studies have demonstrated that the motion tracking ""telemetry"" data used by nearly all VR applications is as uniquely identifiable as a fingerprint scan, raising significant privacy concerns surrounding metaverse technologies. Although previous attempts have been made to anonymize VR motion data, we present in this paper a state-of-the-art VR identification model that can convincingly bypass known defensive countermeasures. We then propose a new ""deep motion masking"" approach that scalably facilitates the real-time anonymization of VR telemetry data. Through a large-scale user study (N=182), we demonstrate that our method is significantly more usable and private than existing VR anonymity systems.",VRW,2024,,https://arxiv.org/pdf/2311.05090,,,,
MeterizYıldıran_Yıldıran_Awad_Mohaisen_2022,A Keylogging Inference Attack on Air-Tapping Keyboards in Virtual Environments,A Keylogging Inference Attack on Air-Tapping Keyboards in Virtual Environments,"Keylogging, privacy risks, side-channel","keylogging, privacy_risks, side_channel","keylogging, privacy_risks, side_channel",Describes a keylogging attack that infers typed input on in-air virtual keyboards by analyzing hand trace patterns in AR/VR environments. Achieved up to 87% accuracy in reconstructing user input through multiple attack scenarios.,"Five-step attack pipeline involving CNN for keystroke localization, pattern analysis, and keyboard reconstruction	","Malicious bystander, Malware, Camera in the scene","malicious_bystander, malicious_application","malicious_bystander, malicious_application",app,Attack: Keylogging,"Enabling users to push the physical world’s limits, augmented and virtual reality platforms opened a new chapter in perception. Novel immersive experiences resulted in the emergence of new interaction methods for virtual environments, which came with unprecedented security and privacy risks. This paper presents a keylogging inference attack to infer user inputs typed with in-air tapping keyboards. We observe that hands follow specific patterns when typing in the air and exploit this observation to carry out our attack. Starting with three plausible attack scenarios where the adversary obtains the hand trace patterns of the victim, we build a pipeline to reconstruct the user input. Our attack pipeline takes the hand traces of the victim as an input and outputs a set of input inferences ordered from the best to worst. Through various experiments, we showed that our inference attack achieves a pinpoint accuracy ranging from 40% to 87% within at most the top-500 candidate reconstructions. Finally, we discuss countermeasures, while the results presented provide a cautionary tale of the security and privacy risk of the immersive mobile technology.",IEEE VR,2022,https://ieeexplore.ieee.org/document/9756766,https://cs.ucf.edu/~mohaisen/doc/vr22.pdf,,app,Keylogging,fake keylogging
Ling_Li_Chen_Luo_Yu_Fu_2019,I Know What You Enter on Gear VR.,I Know What You Enter on Gear VR.,"Keylogging, side-channel attacks, privacy risks.","keylogging, side_channel, privacy_risks","keylogging, side_channel, privacy_risks","Demonstrates keystroke inference attacks in VR using computer vision and motion sensors to track input on a virtual keyboard, achieving high accuracy in password inference.","Stereo vision-based tracking and motion sensor-based orientation tracking, tested with Samsung Gear VR.",Malicious bystander or compromised application,"malicious_bystander, malicious_application","malicious_bystander, malicious_application",app,Attack: Keylogging,"Virtual reality (VR) techniques offer users immersive experiences in a virtual environment (VE) where they can enjoy gaming, training, shopping and social activities. However, security and privacy issues of VR are rarely investigated. In this paper, we introduce novel computer vision-based and motion sensor-based side channel attacks to infer keystrokes in a virtual environment. In the computer vision-based attack, a stereo camera records a user maneuvering a pointing device and inputting passwords. Various computer vision techniques are used to detect the touching frames in which the user taps a touchpad to enter keys on the virtual keyboard within the VE. We then estimate the pose of the headset and derive the orientation of the virtual pointing ray in each touching frame. In the motion sensor-based attack, we exploit sensors including accelerometer, gyroscope and magnetometer built inside the pointing device to retrieve orientation angles of the pointing device. With orientation angles of the pointing device, we can derive the empirical rotation angles and infer the clicked keys by assessing the similarity between the empirical rotation angles and the reference ones between keys. Extensive real-world experiments are performed to demonstrate the feasibility and effectiveness of these side channel attacks.",IEEE CNS,2019,https://ieeexplore.ieee.org/document/8802674,https://web.archive.org/web/20230423015857/https://www.cs.ucf.edu/~xinwenfu/paper/Conferences/19_CNS_I_know_what_you_enter_on_Gear_VR.pdf,,app,Keylogging,fake keylogging
Bonnail_Tseng_Mcgill_Lecolinet_Huron_Gugenheimer_2023,Memory Manipulations in Extended Reality,Memory Manipulations in Extended Reality,"Memory manipulation, ethical implications, privacy risks.","memory_manipulation, privacy_risks","memory_manipulation, privacy_risks","Explores how XR technology could manipulate memory by leveraging cognitive limitations, introducing a framework for XR Memory Manipulations (XRMMs) that can induce forgetting, distort memories, or reinforce them based on sensory inputs and immersion.",Speculative design workshops with XR and memory experts to create and analyze 48 XRMM scenarios	,Potentially malicious developers or applications.,malicious_application,malicious_application,app,"Attack: Manipulating user memories to affect behavior, self-perception.","Human memory has notable limitations (e.g., forgetting) which have necessitated a variety of memory aids (e.g., calendars). As we grow closer to mass adoption of everyday Extended Reality (XR), which is frequently leveraging perceptual limitations (e.g., redirected walking), it becomes pertinent to consider how XR could leverage memory limitations (forgetting, distorting, persistence) to induce memory manipulations. As memories highly impact our self-perception, social interactions, and behaviors, there is a pressing need to understand XR Memory Manipulations (XRMMs). We ran three speculative design workshops (n=12), with XR and memory researchers creating 48 XRMM scenarios. Through thematic analysis, we define XRMMs, present a framework of their core components and reveal three classes (at encoding, pre-retrieval, at retrieval). Each class differs in terms of technology (AR, VR) and impact on memory (influencing quality of memories, inducing forgetting, distorting memories). We raise ethical concerns and discuss opportunities of perceptual and memory manipulations in XR.",CHI,2023,https://dl.acm.org/doi/10.1145/3544548.3580988,https://arxiv.org/pdf/2304.02394,,app,Physical,human joystick
Ramirez_Spivack_DavidJohn_2024,Deceptive Patterns and Perceptual Risks in an Eye-Tracked Virtual Reality.,Deceptive Patterns and Perceptual Risks in an Eye-Tracked Virtual Reality.,"Deceptive patterns, gaze manipulation, privacy risks","deceptive_patterns, eye_tracking, privacy_risks","deceptive_patterns, eye_tracking, privacy_risks","Examines how eye-tracking and gaze guidance in VR can manipulate user perception and decision-making, raising ethical concerns about subtle and forced attention manipulation.","Position paper discussing gaze-based attention guidance, speculative ethical implications in VR based on literature review and prior VR research	",Malicious developers or applications.,malicious_application,malicious_application,app,Attack: Manipulating decisions and attention in VR through deceptive gaze patterns,"In the context of targeted advertisements and design, the line between nudging and manipulation is difficult to define, measure, and enforce. The discussion of what crosses the line between nudging users towards content they may find more enjoyable and what could manipulate them towards specific behaviors is common when defining deceptive or dark patterns. Dark patterns are increasingly present in both web and mobile contexts: producing interface designs that make it difficult to cancel subscriptions or make informed decisions that differ from default settings. In this position paper, we discuss behavior manipulation via eye tracking and the ethical implications of attention guidance in the context of virtual reality (VR) to highlight key challenges for an emerging technology in immersive spaces.",VRW,2024,https://ieeexplore.ieee.org/document/10536313,https://bmdj-vt.github.io/assets/pdfs/Deceptive_Patterns.pdf,,app,Physical,human joystick
