name,Occurrence,order,Main page,Store Link,Accessible,Multiplayer,Social,Creator,HMD,Origin,Store,Price,Number of Reviews,Temp_reviews_no_n/a,Normalized reviews,Web Visitor Count,Normalized visitors,Z-score,Order_formula,Main Focus,Online Count,Rating,summary,Download Count,#Player in the Most Popular Room,Platform Type,Platform availability,Hints for room creation,Room creation,Room creation detailed,Official Creator Documentation Main Page,Official First Step Guide,Unofficial Tutorials,Creator Description,Main Page Web Metric,Monthly Active Users,Events,Scholar Articles
Acadicus,,18,https://acadicus.com/,https://acadicus.com/getting-started-with-acadicus/,Yes,Yes,No,,Yes,Google search,Main page,Free,N/A,,,,,,,Teaching,,,,,,,,,,,,,,,,,,
ChilloutVR,,8,https://abinteractive.net/,https://store.steampowered.com/app/661130/ChilloutVR/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,,steam_query_data_metaverse,Steam,,2332,2332,-0.2079825943,13447,-0.1945038247,-0.402486419,,,,81%,,,,,,,,,,,,,,,,
VRChat,,3,https://hello.vrchat.com/,,Yes,Yes,,,Yes,Google search,"Steam, SteamVR, Pico, Meta, Google Play, Rift,Viveport",Free,,,,,,,,,,,,,,,,,,,,,,,,,,
VRChat,,2,https://hello.vrchat.com/,https://store.steampowered.com/app/438100/VRChat/?snr=1_7_7_151_150_1,,Yes,Yes,Yes,,steam_query_data_vr_multiplayer,Steam,,223785,,,,,,,,,74%,,,,,,,,,,,,,,,,
Neos VR,,14,https://neos.com/,https://store.steampowered.com/app/740250/Neos_VR/,Yes,Yes,Yes,Yes,Yes,Google search,Steam,Free,2245,2245,-0.2102892636,6153,-0.1945165049,-0.4048057685,,,,,,,,,,,,,,,,,,,,
Rec Room,,3,,https://www.oculus.com/experiences/quest/2173678582678296/,Yes,Yes,,,Quest,QuestDB,Quest,Free,31771,,,,,,,"Sports, Arcade",,,,,,,,,,,,,,,,,,
VRChat,,2,,https://store.steampowered.com/app/438100/VRChat/?curator_clanid=4777282,Yes,Yes,,,Yes,SteamDB,Steam,Free,"224,520",,,,,,,Social,23119,,,,,,,,,,,,,,,,,
Rec Room,,4,https://recroom.com/,#N/A,Yes,Yes,,,Yes,Google search,"Steam, SteamVR, Pico, Meta, Google Play, Rift,Viveport",#N/A,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,
VRChat,,5,,https://www.oculus.com/experiences/quest/1856672347794301/,Yes,Yes,,,Quest,QuestDB,Quest,Free,27170,,,,,,,"Social, ",,,,,,,,,,,,,,,,,,
Villa: AI Creation & Collaboration,,36,https://www.villa.rocks/,https://www.oculus.com/experiences/quest/4784171281624823/,Yes,Yes,Yes,Yes,Quest,QuestDB,Quest,Free,2192,2192,-0.211694476,1652,-0.1945243296,-0.4062188056,,"Social, Productivity",,,,,,,,,,,,,,,,,,
AltspaceVR,,54,http://www.altvr.com/,https://www.oculus.com/experiences/quest/2133027990157329/,Yes,Yes,Yes,Yes,Quest,QuestDB,Quest,Free,1106,1106,-0.2404880729,1307,-0.1945249293,-0.4350130022,,"Social, ",,,,,,,,,,,,,,,,,,
Rec Room,,6,,https://store.steampowered.com/app/438100/VRChat/?curator_clanid=4777282,Yes,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,"Social, Games",946,,,,,,,,,,,,,,,,,
Resonite,,16,https://resonite.com/,https://store.steampowered.com/app/2519830/Resonite/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,,steam_query_data_vr_multiplayer,Steam,,1041,1041,-0.2422114465,118901,-0.1943204997,-0.4365319462,,,,82%,,,,,,,,,,,,,,,,
Meta Horizon Worlds,,2,https://www.meta.com/en-gb/experiences/meta-horizon-worlds/2532035600194083/,https://www.meta.com/en-gb/experiences/meta-horizon-worlds/2532035600194083/,Yes,Yes,Yes,Yes,,quest_query_data_metaverse,Quest,0,9082,,,,,,,,,72,"Willkommen bei Meta Horizon Worlds! Ganz gleich, ob du eine Community, Games, Events oder von allem etwas suchst &#x2013; diese App ist der ideale Ort daf&#xfc;r. Mit immer wieder neuen Welten und Quests gibt es stets etwas zu entdecken.",,,,,,,,,,,,,,,
Capuchin,,11,https://capuchinvr.com/,https://www.oculus.com/experiences/quest/5409297455797322/,Yes,Yes,Yes,No,Quest,QuestDB,Quest,Free,8570,,,,,,,"Adventure, Action",,,,,,,,,,,,,,,,,,
Multiverse,,1,https://www.multiverseupdates.com/,https://www.meta.com/en-gb/experiences/multiverse/1976071352472244/,Yes,Yes,Yes,Yes,,quest_query_data_metaverse,Quest,0,1001,1001,-0.2432719842,3783,-0.194520625,-0.4377926091,,,,70,"Multiverse &#x2013; das Metaversum F&#xfc;r die Menschen, Von den Menschen.",,,,,,,,,,,,,,,
Vegas Infinite by PokerStars,,9,https://www.vegasinfinite.com/,https://store.steampowered.com/app/886250/Vegas_Infinite_by_PokerStars/?snr=1_7_7_151_150_1,,,No,,,steam_query_data_vr_multiplayer,Steam,,5852,,,,,,,,,81%,,,,,,,,,,,,,,,,
Roblox,,2,https://www.meta.com/en-gb/experiences/roblox/5804350719675181/,https://www.meta.com/en-gb/experiences/roblox/5804350719675181/,Yes,Yes,,,,quest_query_data_social,Quest,0,7029,,,,,,,,,76,"Roblox lets you explore and share experiences with friends. With over 66 million daily active users and a huge variety of 3D immersive experiences created by a global community, there&#x2019;s always something new to discover.",,,,,,,,,,,,,,,
Vegas Infinite by PokerStars,,88,https://www.pokerstars.com/poker/learn/category/pokerstars-vr/,https://store.steampowered.com/app/886250/Vegas_Infinite_by_PokerStars/,Yes,Yes,No,,Yes,Google search,Steam,Free,5910,,,,,,,#N/A,,,,,,,,,,,,,,,,,,
Gun Raiders,,18,https://gunraiders.com/,https://www.oculus.com/experiences/quest/3982869578392875/,Yes,Yes,Yes,No,Quest,QuestDB,Quest,Free,5412,,,,,,,"Shooting, Action",,,,,,,,"Hub & Chill
For those looking for something slower pace, hang out in the hub with other players and make new friends.",,,,,,,,,,
Zenith: Nexus,,34,https://zenithmmo.com/,https://store.steampowered.com/app/1403370/Zenith_Nexus/?snr=1_7_7_151_150_1,,Yes,No,,,steam_query_data_vr_multiplayer,Steam,,4393,,,,,,,,,69%,,,,,,,,,,,,,,,,
Meta Horizon Worlds,,10,,https://www.oculus.com/experiences/quest/2532035600194083/,Yes,Yes,,,Quest,QuestDB,Quest,Free,8683,,,,,,,"Social, ",,,,,,,,,,,,,,,,,,
Bigscreen Beta,,1,https://www.bigscreenvr.com/,https://www.meta.com/en-gb/experiences/2497738113633933/,Yes,,Yes,No,Yes,Google search,Meta,Free,"4,498",,,,,,,,,,,,,,,,,,,,,,,,,
VRChat,,10,https://www.meta.com/en-gb/experiences/vrchat/1856672347794301/,https://www.meta.com/en-gb/experiences/vrchat/1856672347794301/,Yes,Yes,,,,quest_query_data_social,Quest,0,27507,,,,,,,,,74,Make Friends and Explore an Endless Stream of Community Made Worlds and Avatars,,,,,,,,,,,,,,,
Spatial,,33,https://www.spatial.io/,https://www.meta.com/en-gb/experiences/spatial/2927141310670477/,Yes,Yes,Yes,Yes,,quest_query_data_social,Quest,0,557,557,-0.255043952,1628000,-0.1916970275,-0.4467409794,,,,72,"Join millions worldwide to explore 3D virtual worlds, customize your identity, and collaborate with friends. With stunning graphics and live voice and text chat, Spatial is the perfect platform to unlock your imagination! Explore endless immersive worlds, customize your avatar, connect with millions of creators, and build your own worlds with no coding or fees. Your World Awaits!

Linkin.bio/spatial_io
https://support.spatial.io/hc/en-us
https://www.spatial.io/terms
https://www.spatial.io/guide",,,,,,,,,,,,,,,
Bigscreen Beta,,15,https://www.bigscreenvr.com/,https://store.steampowered.com/app/457550/Bigscreen_Beta/?snr=1_7_7_151_150_1,,Yes,Yes,No,,steam_query_data_vr_multiplayer,Steam,,3068,,,,,,,,,85%,,,,,,,,,,,,,,,,
Sansar,,33,https://www.sansar.com/,https://store.steampowered.com/app/586110/Sansar/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,,steam_query_data_metaverse,Steam,,615,615,-0.2535061724,65619,-0.194413127,-0.4479192994,,,,52%,,,,,,,,,,,,,,,,
WGT Golf,,10,https://www.wgt.com/,https://store.steampowered.com/app/1182020/WGT_Golf/?snr=1_7_7_151_150_1,,,Yes,No,,steam_query_data_vr_multiplayer,Steam,,2611,,,,,,,,,62%,,,,,,,,,,,,,,,,
beanvr,,12,-,"https://www.meta.com/en-gb/experiences/pcvr/1117067631733272/
https://store.steampowered.com/app/638920/BeanVRThe_Social_VR_APP/
https://www.viveport.com/apps/3dda2260-a5cc-470b-b880-5cd7f35bc48d?hl=en-US",No,Yes,,,Yes,Google search,"Meta
Steam
Vive","Not downloadable
Free
Free",32,,,,,,,,,,,,,,,,,,,,,,,,,
Derby,,27,https://throwback.studio/,https://www.meta.com/en-gb/experiences/derby/5981971501867491/,Yes,Yes,Yes,Yes,,quest_query_data_social,Quest,0,454,454,-0.2577748364,0,-0.1945272015,-0.4523020378,,,,84,"Derby is the best place to meet friends, play ball, and make fun videos.

Enter a social virtual park, unleash your swing and throw heat!

Casually compete with friends in a 1v1, or become a champ on the leaderboards.

Earn Peanuts to spend in the Snack Shack on a rotating selection of swag. 

Become a member to earn exclusive rewards, and craft your own private park to host insane fan lobbies with friends.

Hit dingers, become a star, and change the game! It&#x2019;s all possible in Derby.",,,,,,,,,,,,,,,
Immersed,,31,https://immersed.com/,https://www.oculus.com/experiences/quest/2849273531812512/,Yes,Yes,Yes,No,Quest,QuestDB,Quest,Free,2618,,,,,,,"Productivity, Utilities",,,,,,,,,,,,,,,,,,
Roblox,,14,,https://www.oculus.com/experiences/quest/5804350719675181/,Yes,Yes,,,Quest,QuestDB,Quest,Free,6657,,,,,,,"Arcade, Social",,,,,,,,,,,,,,,,,,
Cebus,,34,https://sites.google.com/view/sl-studios/home,https://www.oculus.com/experiences/quest/6404015439622172/,Yes,Yes,Yes,No,Quest,QuestDB,Quest,Free,2312,,,,,,,"Adventure, Horror",,,,,,,,"For those who prefer a more relaxed experience, our sandbox mode allows you to explore and interact with the world at your own pace.",,,,,,,,,,
Viveport Verse,,113,https://www.viverse.com/,https://www.viveport.com/apps/2e307556-9387-42e0-9c39-fa472758c410?hl=en-US,Yes,Yes,Yes,Yes,Yes,Google search,Main page,Free,N/A,285,-0.2622556079,173418,-0.1942257254,-0.4564813332,,,,,,,,,,,,,,,,,,,,
FRAME,First,49,https://framevr.io/,https://framevr.io/,Yes,Yes,Yes,Yes,Yes,Google search,Online,Free,N/A,285,-0.2622556079,34281,-0.1944676061,-0.456723214,,,,,,,,,,,,,,,,,,,,
Somnium Space,First,124,https://somniumspace.com/,https://somniumspace.com/,Yes,Yes,Yes,Yes,Yes,Google search,,Free,N/A,285,-0.2622556079,25677,-0.1944825637,-0.4567381715,,,,,,,,,,,,,,,,,,,,
Sinespace,First,101,https://sine.space/,https://sine.space/vr,Yes,Yes,Yes,Yes,Yes,Google search,,Free,N/A,285,-0.2622556079,4242,-0.194519827,-0.4567754349,,,,,,,,,,,,,,,,,,,,
Oasis VR,First,61,,https://store.steampowered.com/app/1163130/Oasis_VR/?snr=1_7_7_151_150_2,,Yes,,,,steam_query_data_vr_multiplayer,Steam,,1885,,,,,,,,,84%,,,,,,,,,,,,,,,,
Cube Runners,First,5,https://www.meta.com/en-gb/experiences/cube-runners/8390456747663346/,https://www.meta.com/en-gb/experiences/cube-runners/8390456747663346/,Yes,Yes,Yes,No,,quest_query_data_social,Quest,0,2106,,,,,,,,,82,Cube Runners A Fun Multiplayer Game.,,,,,,,,,,,,,,,
Monkeys Place,First,39,https://luwigames.com/index.html,https://www.oculus.com/experiences/quest/6198284860201271/,Yes,Yes,Yes,No,Quest,QuestDB,Quest,Free,1902,,,,,,,"Casual, Simulation",,,,,,,,,,,,,,,,,,
Oasis,First,80,,https://store.steampowered.com/app/1163130/Oasis_VR/,Yes,Yes,,,Yes,Google search,Steam,Free,1884,,,,,,,#N/A,,,,,,,,,,,,,,,,,,
DOWNSHOT,First,40,https://www.downshotvr.com/,https://www.oculus.com/experiences/quest/9166521666722742/,Yes,Yes,Yes,No,Quest,QuestDB,Quest,Free,1871,,,,,,,"Fighting, Shooting",,,,,,,,"Fully physics based multiplayer. Built in mod support. Spawnable weapons, blades, tools, props, enemies, and more. Highly optimized for incredible multiplayer sandbox performance. Explore vast and breathtaking levels. Chat with friends over built in voice chat. Versatile weapons with many uses. Experimental gravity and scaling physics! More content coming soon!",,,,,,,,,,
The Under Presents,First,41,https://tenderclaws.com/,https://www.oculus.com/experiences/quest/1917371471713228/,Yes,Yes,Yes,No,Quest,QuestDB,Quest,Free,1797,,,,,,,"Theatre, Experimental",,,,,,,,,,,,,,,,,,
AChat,First,19,,https://store.steampowered.com/app/1245610/AChat/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,"Social, Sexual Content",42,,,,,,,,,,,,,,,,,
Meta Horizon Worlds,First,42,https://www.oculus.com/,https://www.oculus.com/experiences/quest/3002729676463989/,Yes,Yes,Yes,Yes,Quest,QuestDB,Quest,Free,1721,,,,,,,"Sports, Music",,,,,,,,,,,,,,,,,,
Sail,First,46,https://www.sail-vr.com/,https://www.oculus.com/experiences/quest/4861702420530349/,Yes,Yes,Yes,No,Quest,QuestDB,Quest,Free,1552,,,,,,,"Adventure, RPG (Role Playing Games)",,,,,,,,"- Social Lobbies: Join forces with friends or make new ones in the pirate social lobbies.
",,,,,,,,,,
Monkeys Realm,First,48,https://luwigames.com/,https://www.oculus.com/experiences/quest/5764893640283538/,Yes,Yes,Yes,No,Quest,QuestDB,Quest,Free,1428,,,,,,,"Adventure, Action",,,,,,,,you can play minigames or just jump around and have fun in different maps,,,,,,,,,,
Bigscreen Beta,First,20,,https://www.oculus.com/experiences/quest/2497738113633933/,Yes,Yes,,,Quest,QuestDB,Quest,Free,4439,,,,,,,"Utilities, Media & Streaming",,,,,,,,,,,,,,,,,,
ChilloutVR,First,20,,https://store.steampowered.com/app/661130/ChilloutVR/?snr=1_7_7_151_150_1,,Yes,,,,steam_query_data_vr_multiplayer,Steam,,2332,,,,,,,,,81%,,,,,,,,,,,,,,,,
Meta Quest TV,First,45,,https://www.oculus.com/experiences/quest/1931356740318898/,Yes,No,,,Quest,QuestDB,Quest,Free,1626,,,,,,,"Media & Streaming, ",,,,,,,,,,,,,,,,,,
Monkey Mischief,First,69,,https://store.steampowered.com/app/3098490/Monkey_Mischief/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,"Games, Social",0,,,,,,,,,,,,,,,,,
Yep!,First,73,,https://store.steampowered.com/app/3058320/Yep/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,"Music, Social",0,,,,,,,,,,,,,,,,,
3DXChat,First,84,,https://store.steampowered.com/app/2257780/3DXChat/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,"Social, Sexual Content",0,,,,,,,,,,,,,,,,,
Paper Play VR,First,87,,https://store.steampowered.com/app/2601840/Paper_Play_VR/?curator_clanid=4777282,Demo,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,"Social, Games",0,,,,,,,,,,,,,,,,,
CoreVR,First,91,,https://store.steampowered.com/app/2864660/CoreVR/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
MikoVerse,First,93,,https://store.steampowered.com/app/1914710/MikoVerse/?curator_clanid=4777282,Book,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
World Xplore,First,96,,https://store.steampowered.com/app/2708960/World_Xplore/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
District VR,First,100,,https://store.steampowered.com/app/2732650/District_VR/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,"Music, Social",0,,,,,,,,,,,,,,,,,
Trivia Crack World,First,105,,https://steamdb.info/app/2690890/,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,"Games, Social",0,,,,,,,,,,,,,,,,,
大千 VAST,First,117,,https://store.steampowered.com/app/2562450/_VAST/?curator_clanid=4777282,Book,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
Scenez,First,129,,https://store.steampowered.com/app/2154520/Scenez/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,"Music, Social",0,,,,,,,,,,,,,,,,,
PoligonVR,First,130,,https://store.steampowered.com/app/2336430/PoligonVR/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
Virtex Stadium,First,134,,https://store.steampowered.com/app/1690050/Virtex_Stadium/?curator_clanid=4777282,Book,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
GT:VR,First,150,,https://store.steampowered.com/app/2234300/GTVR/?curator_clanid=4777282,Book,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
ChilloutVR,,21,,https://store.steampowered.com/app/661130/ChilloutVR/?curator_clanid=4777282,Yes,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,39,,,,,,,,,,,,,,,,,
SIX 3D: Metaverse,First,153,,https://store.steampowered.com/app/2177350/SIX_3D_Metaverse/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,"Social, Games",0,,,,,,,,,,,,,,,,,
Many Worlds VR,First,170,,https://store.steampowered.com/app/1496000/Many_Worlds_VR/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
RhyVerse,First,175,,https://store.steampowered.com/app/1954260/RhyVerse/?curator_clanid=4777282,Book,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
Virtual Tokyo Tower,First,177,,https://store.steampowered.com/app/1959860/Virtual_Tokyo_Tower/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,"Social, Events",0,,,,,,,,,,,,,,,,,
Betaverse,First,184,,https://store.steampowered.com/app/1542350/Betaverse/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,"Social, Games",0,,,,,,,,,,,,,,,,,
Galaxity : Terminal21 VR,First,186,,https://store.steampowered.com/app/1881830/Galaxity__Terminal21_VR/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,"Social, Shopping",0,,,,,,,,,,,,,,,,,
PLANET THETA,First,193,,https://store.steampowered.com/app/1840020/PLANET_THETA/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
MageCosmos,First,198,,https://store.steampowered.com/app/1617080/MageCosmos/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
Immersion Sector,First,199,,https://store.steampowered.com/app/1676360/Immersion_Sector/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
COMICOMI VR云漫展,First,205,,https://store.steampowered.com/app/1681610/COMICOMI_VR/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
ToyPark - physics-based social VR platform,First,212,,https://store.steampowered.com/app/1723460/ToyPark__physicsbased_social_VR_platform/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
Dance Central,First,49,https://www.dancecentral.com/,https://www.oculus.com/experiences/quest/2453152771391571/,Yes,Yes,Yes,No,Quest,QuestDB,Quest,Free,1377,,,,,,,"Sports, Music & Rhythm",,,,,,,,"meet up with friends in the multiplayer lounge to party, chat, and dance your hearts out",,,,,,,,,,
Galaxity : Bangkok VR,First,218,,https://store.steampowered.com/app/1650920/Galaxity__Bangkok_VR/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
Go Clubbing,First,219,,https://store.steampowered.com/app/1627250/Go_Clubbing/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
Eden,First,227,,https://store.steampowered.com/app/1229910/Eden/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
KowloonVR,First,229,,https://store.steampowered.com/app/1522520/KowloonVR/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
Discovery,First,230,,https://store.steampowered.com/app/1530530/Discovery/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
Wings VR,First,245,,https://store.steampowered.com/app/1204900/Wings_VR/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
Windfall,First,262,,https://store.steampowered.com/app/841290/Windfall/?curator_clanid=4777282,No,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,0,,,,,,,,,,,,,,,,,
Overte,First,83,https://overte.org/,https://overte.org/index.html,Yes,Yes,Yes,Yes,Yes,Google search,,Free,N/A,285,-0.2622556079,1683,-0.1945242757,-0.4567798836,,,,,,,,,,,,,,,,,,,,
Bigscreen Beta,,23,,https://store.steampowered.com/app/457550/Bigscreen_Beta/?curator_clanid=4777282,Yes,Yes,,,Yes,SteamDB,Steam,Free,,,,,,,,Social,35,,,,,,,,,,,,,,,,,
Hibow,First,53,https://chesstar.com/hibowen.html,https://www.oculus.com/experiences/quest/3687705861311054/,Yes,Yes,No,No,Quest,QuestDB,Quest,Free,1110,,,,,,,"Shooting, Battle Royale",,,,,,,,"Multiplayer lobby, social upgrade",,,,,,,,,,
Yeeps: Hide and Seek,First,23,https://www.meta.com/en-gb/experiences/yeeps-hide-and-seek/7276525889052788/,https://www.meta.com/en-gb/experiences/yeeps-hide-and-seek/7276525889052788/,Yes,Yes,,,,quest_query_data_social,Quest,0,53273,,,,,,,,,98,"Yeeps: Hide and Seek takes the best movement VR has to offer and builds on it, literally! Your belly is full of stuffing used to craft anything from pillows for building to bombs for destruction. Pull items from your vast imagination and toss them into the world. The game&#x2019;s intuitive block-based building makes it easy to express your creativity at any skill level.",,,,,,,,,,,,,,,
War Thunder,First,1,,https://store.steampowered.com/app/236390/War_Thunder/?snr=1_7_7_151_150_1,,No,,,,steam_query_data_vr_multiplayer,Steam,,529170,,,,,,,,,73%,,,,,,,,,,,,,,,,
Third Room,First,75,https://thirdroom.io/landing,thirdroom.io,Yes,Yes,Yes,Yes,Yes,Google search,,Free,N/A,285,-0.2622556079,1183,-0.1945251449,-0.4567807528,,,,,,,,,,,,,,,,,,,,
